description,completed,value,new_balance
,2016-12-30T18:08:54Z,2714.14HKD,5498.05HKD
,2016-12-30T07:29:32Z,2941.32HKD,2783.91HKD
,2016-12-21T22:14:17Z,19874.67HKD,-157.41HKD
,2016-12-21T21:43:21Z,45962.60HKD,-20032.08HKD
,2016-12-21T17:14:39Z,4739.48HKD,-65994.68HKD
Transfer,2016-12-21T11:12:22Z,-7691.12HKD,-70734.16HKD
,2016-12-16T20:42:16Z,2714.14HKD,-63043.04HKD
Transfer,2016-12-16T12:16:34Z,-3993.48HKD,-65757.18HKD
,2016-12-14T18:27:59Z,-587.59HKD,-61763.70HKD
,2016-12-14T16:20:51Z,4371.02HKD,-61176.11HKD
,2016-12-14T12:50:49Z,498.22HKD,-65547.13HKD
,2016-12-11T04:40:16Z,-603.06HKD,-66045.35HKD
,2016-12-07T16:17:35Z,-443.08HKD,-65442.29HKD
,2016-12-07T15:34:52Z,19874.67HKD,-64999.21HKD
,2016-12-07T12:08:05Z,2714.14HKD,-84873.88HKD
Estate Agent,2016-12-07T07:36:03Z,7896.56HKD,-87588.02HKD
Spa,2016-12-05T20:06:59Z,-5312.83HKD,-95484.58HKD
London arttraction,2016-12-05T11:12:45Z,-2688.87HKD,-90171.75HKD
Shopping,2016-12-04T16:15:38Z,-534.57HKD,-87482.88HKD
Shopping,2016-12-04T07:42:30Z,-407.62HKD,-86948.31HKD
Transfer Ref GY674312,2016-12-01T21:25:14Z,-40099.56HKD,-86540.69HKD
Transfer Ref KK198436,2016-12-01T20:54:50Z,-42741.08HKD,-46441.13HKD
Gas/Elec,2016-12-01T07:53:10Z,-2688.87HKD,-3700.05HKD
Business Rates,2016-12-01T06:22:39Z,-1808.09HKD,-1011.18HKD
Rent,2016-12-01T04:00:18Z,-5312.83HKD,796.91HKD
Shopping,2016-12-01T01:30:43Z,-1506.59HKD,6109.74HKD
,2016-09-30T23:54:22Z,2714.14HKD,7616.33HKD
,2016-09-30T20:02:35Z,2941.32HKD,4902.19HKD
,2016-09-28T10:12:56Z,45962.60HKD,1960.87HKD
,2016-09-28T05:01:38Z,19874.67HKD,-44001.73HKD
Transfer,2016-09-25T10:50:32Z,-7691.12HKD,-63876.40HKD
,2016-09-25T06:01:13Z,4739.48HKD,-56185.28HKD
,2016-09-24T21:16:00Z,2714.14HKD,-60924.76HKD
Transfer,2016-09-24T01:45:21Z,-3993.48HKD,-63638.90HKD
Mobile,2016-09-21T08:51:59Z,-587.59HKD,-59645.42HKD
,2016-09-21T03:49:17Z,498.22HKD,-59057.83HKD
,2016-09-19T19:54:49Z,4371.02HKD,-59556.05HKD
Estate Agent,2016-09-17T07:18:03Z,7896.56HKD,-63927.07HKD
,2016-09-17T04:43:10Z,-603.06HKD,-71823.63HKD
,2016-09-17T03:09:17Z,-443.08HKD,-71220.57HKD
,2016-09-15T15:43:54Z,2714.14HKD,-70777.49HKD
,2016-09-15T03:11:38Z,19874.67HKD,-73491.63HKD
Shopping,2016-09-12T16:14:21Z,-407.62HKD,-93366.30HKD
Spa,2016-09-12T12:25:49Z,-5312.83HKD,-92958.68HKD
London arttraction,2016-09-12T10:48:20Z,-2688.87HKD,-87645.85HKD
Filling Station,2016-09-12T08:17:00Z,-534.57HKD,-84956.98HKD
Gas/Elec,2016-09-01T23:31:11Z,-2688.87HKD,-84422.41HKD
Rent,2016-09-01T17:12:58Z,-5312.83HKD,-81733.54HKD
Transfer Ref PT563127,2016-09-01T17:04:38Z,-40099.56HKD,-76420.71HKD
Transfer Ref ED453127,2016-09-01T11:06:05Z,-42741.08HKD,-36321.15HKD
Business Rates,2016-09-01T04:11:53Z,-1808.09HKD,6419.93HKD
BT,2016-09-01T02:37:07Z,-1506.59HKD,8228.02HKD
