description,completed,value,new_balance
Resaurant/Takeway,2016-12-31T20:37:42Z,-171.76HKD,6823.85HKD
Transfer,2016-12-31T11:32:54Z,-3119.09HKD,6995.61HKD
Bar,2016-12-31T10:43:23Z,-274.37HKD,10114.70HKD
Bar,2016-12-31T06:05:21Z,-280.00HKD,10389.07HKD
Dentist,2016-12-30T15:46:28Z,-538.61HKD,10669.07HKD
Parmacy,2016-12-30T12:18:17Z,-73.94HKD,11207.68HKD
Restaurant/Takeway,2016-12-30T09:24:33Z,-46.10HKD,11281.62HKD
Shopping,2016-12-30T00:42:30Z,-290.12HKD,11327.72HKD
coffee,2016-12-29T13:45:21Z,-52.88HKD,11617.84HKD
Yatch Club,2016-12-29T13:17:36Z,-556.36HKD,11670.72HKD
Takeway,2016-12-29T12:43:20Z,-777.47HKD,12227.08HKD
Restaurant,2016-12-29T12:18:15Z,-371.73HKD,13004.55HKD
Restaurant,2016-12-29T05:40:41Z,-498.60HKD,13376.28HKD
Yatch Club,2016-12-29T01:06:26Z,-538.49HKD,13874.88HKD
Bar,2016-12-28T14:02:26Z,-748.39HKD,14413.37HKD
coffee,2016-12-28T13:24:23Z,-69.75HKD,15161.76HKD
Takeway,2016-12-28T10:30:10Z,-451.76HKD,15231.51HKD
coffee,2016-12-28T09:13:51Z,-69.75HKD,15683.27HKD
Restaurant,2016-12-24T22:37:27Z,-65.76HKD,15753.02HKD
Restaurant,2016-12-24T16:45:37Z,-138.56HKD,15818.78HKD
Shopping,2016-12-24T11:35:56Z,-930.02HKD,15957.34HKD
Shopping,2016-12-24T09:55:14Z,-577.69HKD,16887.36HKD
Bar,2016-12-24T02:31:49Z,-253.09HKD,17465.05HKD
coffee,2016-12-24T02:06:59Z,-43.81HKD,17718.14HKD
Shopping,2016-12-21T13:46:42Z,-716.04HKD,17761.95HKD
Shopping,2016-12-20T21:28:07Z,-331.96HKD,18477.99HKD
Shopping,2016-12-19T21:49:03Z,-716.04HKD,18809.95HKD
Shopping,2016-12-19T21:32:54Z,-722.14HKD,19525.99HKD
coffee,2016-12-18T19:25:14Z,-56.57HKD,20248.13HKD
Restaurant,2016-12-16T18:23:28Z,-295.05HKD,20304.70HKD
Filling Station,2016-12-13T03:49:30Z,-722.14HKD,20599.75HKD
Resaurant/Takeway,2016-12-13T02:36:04Z,-52.88HKD,21321.89HKD
Restaurtant/Takeway,2016-12-12T07:24:49Z,-108.45HKD,21374.77HKD
Bar,2016-12-12T06:53:16Z,-457.22HKD,21483.22HKD
Monthly Sky,2016-12-04T15:07:55Z,-967.82HKD,21940.44HKD
Shopping,2016-12-04T06:07:18Z,-1692.24HKD,22908.26HKD
Salary Ref ID34215,2016-12-01T22:15:55Z,17670.90HKD,24600.50HKD
Gas/Elec,2016-12-01T22:11:17Z,-534.57HKD,6929.60HKD
Insurance Ref IDE5467,2016-12-01T18:50:28Z,-271.49HKD,7464.17HKD
Mortgage Ref DDE23461,2016-12-01T18:03:04Z,-6311.21HKD,7735.66HKD
Tax Ref 4583245,2016-12-01T16:19:02Z,-1371.30HKD,14046.87HKD
Water,2016-12-01T04:15:54Z,-323.24HKD,15418.17HKD
Bar,2016-11-27T18:52:01Z,-176.08HKD,15741.41HKD
Bar,2016-11-27T01:05:04Z,-262.70HKD,15917.49HKD
Restaurant,2016-11-21T13:54:19Z,-330.98HKD,16180.19HKD
Shopping,2016-11-21T05:07:44Z,-539.90HKD,16511.17HKD
Yatch Club,2016-11-20T05:05:52Z,325.84HKD,17051.07HKD
Restaurant/Takeway,2016-11-18T08:03:59Z,-73.43HKD,16725.23HKD
coffee,2016-11-16T20:16:35Z,-65.50HKD,16798.66HKD
Takeway,2016-11-14T16:45:17Z,-489.97HKD,16864.16HKD
Shopping,2016-11-14T15:30:28Z,-422.59HKD,17354.13HKD
Bar,2016-11-12T14:32:16Z,-399.10HKD,17776.72HKD
restaurant,2016-11-12T14:11:15Z,-231.28HKD,18175.82HKD
Filling Station,2016-11-09T15:37:15Z,-587.59HKD,18407.10HKD
