description,completed,value,new_balance
Shopping,2019-06-04T18:30:26Z,-279.47HKD,67641.43HKD
Bar,2019-06-04T00:26:29Z,-207.50HKD,67920.90HKD
Salary Ref ID33215,2019-06-01T08:07:24Z,12280.40HKD,68128.40HKD
Car Servicing,2019-06-01T00:19:57Z,-3629.45HKD,55848.00HKD
Saving,2019-05-30T18:05:46Z,-1808.09HKD,59477.45HKD
Mobile,2019-05-30T09:00:31Z,-397.44HKD,61285.54HKD
Shopping,2019-05-27T16:56:25Z,-61.91HKD,61682.98HKD
Filling Station,2019-05-24T19:30:14Z,-538.61HKD,61744.89HKD
Coffee,2019-05-23T20:06:41Z,-65.50HKD,62283.50HKD
Restaurant,2019-05-23T08:55:15Z,-277.03HKD,62349.00HKD
Bar,2019-05-21T14:42:13Z,-257.12HKD,62626.03HKD
Coffee,2019-05-16T19:31:05Z,-69.75HKD,62883.15HKD
Shopping,2019-05-14T21:04:56Z,-245.00HKD,62952.90HKD
Shopping,2019-05-14T04:32:46Z,-468.05HKD,63197.90HKD
Salary Ref ID34215,2019-05-09T00:26:11Z,12280.40HKD,63665.95HKD
Cash Withdrawals,2019-05-07T10:11:17Z,-1056.45HKD,51385.55HKD
Restaurant,2019-05-07T04:29:03Z,-443.41HKD,52442.00HKD
Restaurant,2019-05-06T12:17:40Z,-277.03HKD,52885.41HKD
Bar,2019-05-06T08:52:36Z,-183.33HKD,53162.44HKD
Cash Withdrawals,2019-05-02T11:42:58Z,-1506.59HKD,53345.77HKD
Car Servicing,2019-05-02T10:56:54Z,-3629.45HKD,54852.36HKD
Monthly Netflix Membership,2019-05-02T09:51:17Z,-73.61HKD,58481.81HKD
Coffee,2019-05-02T02:30:09Z,-122.92HKD,58555.42HKD
Mobile,2019-04-28T05:58:14Z,-397.44HKD,58678.34HKD
Saving,2019-04-28T01:28:01Z,-1808.09HKD,59075.78HKD
Coffee,2019-04-26T22:15:54Z,-69.75HKD,60883.87HKD
Shopping,2019-04-24T09:53:04Z,-457.22HKD,60953.62HKD
Shopping,2019-04-24T07:32:05Z,-136.56HKD,61410.84HKD
Bar,2019-04-23T04:35:39Z,-248.25HKD,61547.40HKD
Spa,2019-04-18T08:21:13Z,-603.06HKD,61795.65HKD
Shopping,2019-04-16T20:43:01Z,-112.64HKD,62398.71HKD
Coffee,2019-04-16T11:20:51Z,-65.50HKD,62511.35HKD
Restaurant,2019-04-15T23:07:42Z,-450.39HKD,62576.85HKD
Cash Withdrawals,2019-04-13T17:04:32Z,-1056.45HKD,63027.24HKD
Filling Station,2019-04-13T04:22:15Z,-609.65HKD,64083.69HKD
Restaurant,2019-04-11T08:16:13Z,-277.03HKD,64693.34HKD
Shopping,2019-04-11T04:05:43Z,-188.06HKD,64970.37HKD
Bar,2019-04-10T00:41:06Z,-106.39HKD,65158.43HKD
Spa,2019-04-09T17:14:00Z,-234.98HKD,65264.82HKD
Shopping,2019-04-06T18:46:49Z,-240.34HKD,65499.80HKD
Coffee,2019-04-05T23:48:58Z,-156.16HKD,65740.14HKD
Shopping,2019-04-05T09:57:02Z,-69.75HKD,65896.30HKD
Bar,2019-04-03T06:29:13Z,-228.55HKD,65966.05HKD
Shopping,2019-04-03T06:06:19Z,-451.76HKD,66194.60HKD
Restaurant,2019-04-03T00:00:58Z,-79.63HKD,66646.36HKD
Salary Ref ID34215,2019-04-01T16:37:47Z,12280.40HKD,66725.99HKD
Car Servicing,2019-04-01T15:08:54Z,-3629.45HKD,54445.59HKD
Salary Ref ID34215,2019-04-01T13:58:35Z,17670.90HKD,58075.04HKD
Saving,2019-03-31T12:28:45Z,-1808.09HKD,40404.14HKD
Mobile,2019-03-28T10:39:31Z,-397.44HKD,42212.23HKD
Coffee,2019-03-27T03:53:52Z,-150.14HKD,42609.67HKD
Bar,2019-03-26T22:48:48Z,-273.79HKD,42759.81HKD
Bar,2019-03-26T18:08:59Z,-103.32HKD,43033.60HKD
Coffee,2019-03-25T17:22:35Z,-65.50HKD,43136.92HKD
Shopping,2019-03-25T12:20:36Z,-151.86HKD,43202.42HKD
Resaurant,2019-03-22T15:52:41Z,-401.19HKD,43354.28HKD
Flights,2019-03-20T15:46:47Z,-1201.15HKD,43755.47HKD
Booking.com,2019-03-18T12:08:43Z,-847.08HKD,44956.62HKD
Shopping,2019-03-17T23:08:54Z,-289.68HKD,45803.70HKD
