description,completed,value,new_balance
Shopping,2019-06-05T21:25:03Z,-308.55HKD,2349.27HKD
Shopping,2019-06-05T01:32:49Z,-692.44HKD,2657.82HKD
Shopping,2019-06-04T20:18:11Z,-274.18HKD,3350.26HKD
Filling station,2019-06-04T04:16:50Z,-331.96HKD,3624.44HKD
Restaurant,2019-06-04T00:32:57Z,-526.65HKD,3956.40HKD
Shopping,2019-06-02T19:11:55Z,-857.49HKD,4483.05HKD
Restaurant,2019-06-02T05:01:28Z,-167.38HKD,5340.54HKD
Shopping,2019-06-02T04:18:39Z,-149.45HKD,5507.92HKD
Tax Ref 4583245,2019-06-01T22:32:54Z,-617.99HKD,5657.37HKD
Gas/Elec,2019-06-01T16:30:14Z,-587.59HKD,6275.36HKD
Cash withdrawal,2019-06-01T16:04:12Z,-534.57HKD,6862.95HKD
Shopping,2019-06-01T13:44:35Z,-610.69HKD,7397.52HKD
Water,2019-06-01T12:10:13Z,-271.49HKD,8008.21HKD
Telephone,2019-06-01T10:29:16Z,-338.50HKD,8279.70HKD
Shopping,2019-06-01T08:05:08Z,-216.52HKD,8618.20HKD
Cash withdrawal,2019-06-01T08:04:14Z,-534.57HKD,8834.72HKD
Rent,2019-06-01T05:38:13Z,-6311.21HKD,9369.29HKD
Savings,2019-05-30T22:29:35Z,-331.96HKD,15680.50HKD
Salary Ref ID33681,2019-05-30T18:33:34Z,12751.32HKD,16012.46HKD
Mobile phone,2019-05-30T08:41:52Z,-271.49HKD,3261.14HKD
Shopping,2019-05-27T21:58:30Z,-535.19HKD,3532.63HKD
Restaurant,2019-05-27T18:45:17Z,-157.40HKD,4067.82HKD
Shopping,2019-05-26T21:32:40Z,-156.16HKD,4225.22HKD
Cash withdrawal,2019-05-26T02:29:51Z,-534.57HKD,4381.38HKD
Cash withdrawal,2019-05-13T11:24:01Z,-534.57HKD,4915.95HKD
Water,2019-05-09T03:34:16Z,-271.49HKD,5450.52HKD
Shopping,2019-05-08T19:35:57Z,-504.67HKD,5722.01HKD
Shopping,2019-05-07T14:10:55Z,-156.16HKD,6226.68HKD
Takeaway,2019-05-07T13:58:43Z,-342.53HKD,6382.84HKD
Shopping,2019-05-07T02:37:52Z,-399.10HKD,6725.37HKD
Restaurant,2019-05-07T02:35:45Z,-323.24HKD,7124.47HKD
Shopping,2019-05-06T00:03:41Z,-359.22HKD,7447.71HKD
Telephone,2019-05-02T20:58:45Z,-338.50HKD,7806.93HKD
Tax Ref 4583245,2019-05-02T20:52:19Z,-617.99HKD,8145.43HKD
Rent,2019-05-02T06:48:57Z,-6311.21HKD,8763.42HKD
Gas/Elec,2019-05-02T06:01:11Z,-587.59HKD,15074.63HKD
Savings,2019-04-30T21:35:54Z,-331.96HKD,15662.22HKD
Shopping,2019-04-29T20:02:37Z,-535.19HKD,15994.18HKD
Mobile phone,2019-04-29T16:12:18Z,-271.49HKD,16529.37HKD
Salary Ref ID12681,2019-04-29T03:32:40Z,12751.32HKD,16800.86HKD
Shopping,2019-04-23T04:27:23Z,-127.39HKD,4049.54HKD
Cash withdrawal,2019-04-21T05:27:29Z,-534.57HKD,4176.93HKD
Filling station,2019-04-11T20:23:46Z,-257.16HKD,4711.50HKD
Cash withdrawal,2019-04-11T16:59:58Z,-534.57HKD,4968.66HKD
Shopping,2019-04-11T15:30:02Z,-753.95HKD,5503.23HKD
Shopping,2019-04-11T12:14:54Z,-69.51HKD,6257.18HKD
Restaurant,2019-04-11T00:51:53Z,-356.05HKD,6326.69HKD
Shopping,2019-04-10T18:11:22Z,-389.17HKD,6682.74HKD
Restaurant,2019-04-10T16:44:22Z,-188.27HKD,7071.91HKD
Shopping,2019-04-10T08:50:00Z,-338.50HKD,7260.18HKD
Shopping,2019-04-10T07:59:13Z,-273.12HKD,7598.68HKD
Shopping,2019-04-09T08:45:25Z,-209.62HKD,7871.80HKD
Cash withdrawal,2019-04-09T06:29:45Z,-534.57HKD,8081.42HKD
Optician,2019-04-07T05:37:44Z,-323.24HKD,8615.99HKD
Shopping,2019-04-05T16:49:24Z,-359.22HKD,8939.23HKD
Cash withdrawal,2019-04-05T10:37:02Z,-534.57HKD,9298.45HKD
Restaurant,2019-04-05T10:25:15Z,-279.42HKD,9833.02HKD
Shopping,2019-04-05T00:20:47Z,-151.86HKD,10112.44HKD
Rent,2019-04-01T16:17:57Z,-6311.21HKD,10264.30HKD
Telephone,2019-04-01T13:02:29Z,-338.50HKD,16575.51HKD
Water,2019-04-01T09:27:51Z,-271.49HKD,16914.01HKD
Tax Ref 4583245,2019-04-01T05:27:56Z,-617.99HKD,17185.50HKD
Gas/Elec,2019-04-01T01:22:07Z,-587.59HKD,17803.49HKD
Savings,2019-03-30T05:17:31Z,-331.96HKD,18391.08HKD
Mobile phone,2019-03-28T01:49:16Z,-271.49HKD,18723.04HKD
Cash withdrawal,2019-03-27T19:34:48Z,-534.57HKD,18994.53HKD
Shopping,2019-03-27T08:54:13Z,-692.44HKD,19529.10HKD
Salary Ref ID76781,2019-03-27T05:47:53Z,12751.32HKD,20221.54HKD
Shopping,2019-03-26T15:45:21Z,-274.18HKD,7470.22HKD
Restaurant,2019-03-26T14:34:47Z,-526.65HKD,7744.40HKD
Shopping,2019-03-26T05:28:17Z,-308.55HKD,8271.05HKD
Filling station,2019-03-15T19:05:26Z,-331.96HKD,8579.60HKD
Shopping,2019-03-14T16:52:07Z,-149.45HKD,8911.56HKD
Shopping,2019-03-14T13:05:16Z,981.58HKD,9061.01HKD
Shopping,2019-03-13T13:44:18Z,-857.49HKD,8079.43HKD
Restaurant,2019-03-11T12:43:18Z,-167.38HKD,8936.92HKD
Cash withdrawal,2019-03-09T04:08:13Z,-534.57HKD,9104.30HKD
Shopping,2019-03-07T16:12:18Z,-216.52HKD,9638.87HKD
Shopping,2019-03-05T18:18:22Z,-610.69HKD,9855.39HKD
Cash withdrawal,2019-03-05T11:33:52Z,-534.57HKD,10466.08HKD
Rent,2019-03-03T20:51:09Z,-6311.21HKD,11000.65HKD
Water,2019-03-03T19:50:00Z,-271.49HKD,17311.86HKD
Gas/Elec,2019-03-03T16:31:56Z,-587.59HKD,17583.35HKD
Telephone,2019-03-03T04:18:45Z,-338.50HKD,18170.94HKD
Tax Ref 4583245,2019-03-01T11:52:44Z,-617.99HKD,18509.44HKD
Savings,2019-02-28T15:04:15Z,-331.96HKD,19127.43HKD
Mobile phone,2019-02-28T10:02:02Z,-271.49HKD,19459.39HKD
Restaurant,2019-02-27T13:11:15Z,-157.40HKD,19730.88HKD
Shopping,2019-02-27T09:50:51Z,-535.19HKD,19888.28HKD
Salary Ref ID76581,2019-02-27T07:12:55Z,12751.32HKD,20423.47HKD
Shopping,2019-02-24T17:37:49Z,-156.16HKD,7672.15HKD
Cash withdrawal,2019-02-23T22:52:47Z,-534.57HKD,7828.31HKD
Shopping,2019-02-23T10:58:15Z,-504.67HKD,8362.88HKD
Takeaway,2019-02-21T18:58:44Z,-342.53HKD,8867.55HKD
Takeaway,2019-02-21T05:55:49Z,-342.53HKD,9210.08HKD
Shopping,2019-02-17T17:03:10Z,-156.16HKD,9552.61HKD
Shopping,2019-02-17T12:07:20Z,-156.16HKD,9708.77HKD
Shopping,2019-02-14T11:18:42Z,-399.10HKD,9864.93HKD
Shopping,2019-02-14T08:08:10Z,-399.10HKD,10264.03HKD
Restaurant,2019-02-13T21:16:55Z,-323.24HKD,10663.13HKD
