description,completed,value,new_balance
Filling station,2018-12-30T20:45:42Z,-407.88HKD,3354.71HKD
Pay Ref 651139,2018-12-30T11:36:24Z,12751.32HKD,3762.59HKD
Savings,2018-12-30T08:20:33Z,-331.96HKD,-8988.73HKD
Mobile phone,2018-12-30T07:14:55Z,-271.49HKD,-8656.77HKD
Cash withdrawal,2018-12-18T11:12:36Z,-534.57HKD,-8385.28HKD
Shopping,2018-12-05T20:35:33Z,-692.44HKD,-7850.71HKD
Shopping,2018-12-05T03:46:27Z,-308.55HKD,-7158.27HKD
Restaurant,2018-12-04T23:51:30Z,-526.65HKD,-6849.72HKD
Shopping,2018-12-04T21:17:20Z,-274.18HKD,-6323.07HKD
Filling station,2018-12-04T19:09:26Z,-331.96HKD,-6048.89HKD
Shopping,2018-12-02T13:18:01Z,-149.45HKD,-5716.93HKD
Restaurant,2018-12-02T09:33:35Z,-167.38HKD,-5567.48HKD
Shopping,2018-12-02T04:01:03Z,-857.49HKD,-5400.10HKD
Cash withdrawal,2018-12-01T22:27:12Z,-534.57HKD,-4542.61HKD
Shopping,2018-12-01T21:59:13Z,-216.52HKD,-4008.04HKD
Water,2018-12-01T18:55:49Z,-271.49HKD,-3791.52HKD
Gas/Elec,2018-12-01T12:50:33Z,-587.59HKD,-3520.03HKD
Cash withdrawal,2018-12-01T11:51:25Z,-534.57HKD,-2932.44HKD
Tax Ref 4583245,2018-12-01T11:26:55Z,-617.99HKD,-2397.87HKD
Telephone,2018-12-01T10:59:10Z,-338.50HKD,-1779.88HKD
Rent,2018-12-01T09:25:44Z,-6311.21HKD,-1441.38HKD
Shopping,2018-12-01T05:45:37Z,-610.69HKD,4869.83HKD
Salary Ref ID281781,2018-11-30T18:01:47Z,12751.32HKD,5480.52HKD
Savings,2018-11-30T07:44:11Z,-331.96HKD,-7270.80HKD
Mobile phone,2018-11-30T04:37:31Z,-271.49HKD,-6938.84HKD
Shopping,2018-11-27T21:45:00Z,-535.19HKD,-6667.35HKD
Restaurant,2018-11-27T18:05:54Z,-157.40HKD,-6132.16HKD
Shopping,2018-11-26T21:32:43Z,-156.16HKD,-5974.76HKD
Cash withdrawal,2018-11-26T05:38:54Z,-534.57HKD,-5818.60HKD
Cash withdrawal,2018-11-13T02:50:13Z,-534.57HKD,-5284.03HKD
Water,2018-11-09T17:59:08Z,-271.49HKD,-4749.46HKD
Shopping,2018-11-08T09:53:15Z,-504.67HKD,-4477.97HKD
Takeaway,2018-11-07T20:19:55Z,-342.53HKD,-3973.30HKD
Shopping,2018-11-07T11:55:37Z,-399.10HKD,-3630.77HKD
Restaurant,2018-11-07T10:23:38Z,-323.24HKD,-3231.67HKD
Shopping,2018-11-07T06:31:05Z,-156.16HKD,-2908.43HKD
Shopping,2018-11-06T01:09:05Z,-359.22HKD,-2752.27HKD
Gas/Elec,2018-11-02T18:34:16Z,-587.59HKD,-2393.05HKD
Rent,2018-11-02T17:26:10Z,-6311.21HKD,-1805.46HKD
Tax Ref 4583245,2018-11-02T05:43:43Z,-617.99HKD,4505.75HKD
Telephone,2018-11-02T05:08:52Z,-338.50HKD,5123.74HKD
Savings,2018-10-30T08:43:00Z,-331.96HKD,5462.24HKD
Mobile phone,2018-10-29T16:49:32Z,-271.49HKD,5794.20HKD
Salary Ref ID22781,2018-10-29T14:27:00Z,12751.32HKD,6065.69HKD
Shopping,2018-10-29T04:19:30Z,-535.19HKD,-6685.63HKD
