description,completed,value,new_balance
Mobile,2018-12-30T11:14:56Z,-397.44HKD,116775.01HKD
Saving,2018-12-30T01:42:37Z,-1808.09HKD,117172.45HKD
Bar,2018-12-24T14:55:35Z,-273.79HKD,118980.54HKD
Bar,2018-12-24T02:56:08Z,-103.32HKD,119254.33HKD
Coffee,2018-12-24T01:06:56Z,-150.14HKD,119357.65HKD
Flights,2018-12-21T20:03:23Z,-1201.15HKD,119507.79HKD
Booking.com,2018-12-21T19:44:25Z,-847.08HKD,120708.94HKD
Resaurant,2018-12-21T15:06:05Z,-401.19HKD,121556.02HKD
Shopping,2018-12-21T08:30:39Z,-151.86HKD,121957.21HKD
Coffee,2018-12-21T04:47:32Z,-65.50HKD,122109.07HKD
Shopping,2018-12-19T20:58:46Z,-514.80HKD,122174.57HKD
Shopping,2018-12-19T19:50:35Z,-289.68HKD,122689.37HKD
Restaurant/Takeway,2018-12-19T09:46:36Z,-505.78HKD,122979.05HKD
Spa,2018-12-18T15:02:54Z,-234.98HKD,123484.83HKD
Coffee,2018-12-18T14:58:33Z,-65.50HKD,123719.81HKD
Restaurant,2018-12-18T13:25:50Z,-155.25HKD,123785.31HKD
Bar,2018-12-18T11:20:27Z,-222.06HKD,123940.56HKD
Shopping,2018-12-18T09:21:46Z,-721.61HKD,124162.62HKD
Coffee,2018-12-18T08:15:27Z,-65.50HKD,124884.23HKD
Shopping,2018-12-18T03:27:15Z,-1044.53HKD,124949.73HKD
Restaurant,2018-12-18T02:52:55Z,-384.33HKD,125994.26HKD
Coffee,2018-12-15T16:22:14Z,-65.50HKD,126378.59HKD
Shopping,2018-12-15T09:53:11Z,-276.69HKD,126444.09HKD
Shopping,2018-12-15T03:07:53Z,-73.43HKD,126720.78HKD
Filling Station,2018-12-14T23:22:10Z,-590.14HKD,126794.21HKD
Spa,2018-12-14T15:23:17Z,-804.89HKD,127384.35HKD
Coffee,2018-12-14T13:40:53Z,-65.50HKD,128189.24HKD
Coffee,2018-12-14T12:10:05Z,-65.50HKD,128254.74HKD
Shopping,2018-12-14T09:30:21Z,-59.82HKD,128320.24HKD
Tickets,2018-12-14T07:51:51Z,-730.25HKD,128380.06HKD
Cinema,2018-12-14T04:19:36Z,-135.48HKD,129110.31HKD
Cash Withdrawals,2018-12-14T02:19:36Z,-1056.45HKD,129245.79HKD
Monthly Netflix Membership,2018-12-14T00:22:22Z,-59.82HKD,130302.24HKD
Shopping,2018-12-11T19:00:54Z,-538.61HKD,130362.06HKD
Restaurant,2018-12-11T07:06:10Z,-457.22HKD,130900.67HKD
Bar,2018-12-04T21:10:38Z,-207.50HKD,131357.89HKD
Shopping,2018-12-04T13:02:34Z,-279.47HKD,131565.39HKD
Salary Ref ID34215,2018-12-01T01:55:03Z,12280.40HKD,131844.86HKD
Car Servicing,2018-12-01T00:46:58Z,-3629.45HKD,119564.46HKD
Saving,2018-11-30T16:40:07Z,-1808.09HKD,123193.91HKD
Mobile,2018-11-30T08:37:07Z,-397.44HKD,125002.00HKD
Shopping,2018-11-28T23:04:46Z,-61.91HKD,125399.44HKD
Coffee,2018-11-23T23:25:49Z,-65.50HKD,125461.35HKD
Filling Station,2018-11-23T15:08:35Z,-538.61HKD,125526.85HKD
Restaurant,2018-11-23T05:52:17Z,-277.03HKD,126065.46HKD
Bar,2018-11-20T19:41:02Z,-257.12HKD,126342.49HKD
Coffee,2018-11-16T14:30:11Z,-69.75HKD,126599.61HKD
Shopping,2018-11-14T14:01:17Z,-245.00HKD,126669.36HKD
Shopping,2018-11-14T08:15:04Z,-468.05HKD,126914.36HKD
Salary Ref ID34215,2018-11-09T05:37:07Z,12280.40HKD,127382.41HKD
Cash Withdrawals,2018-11-07T03:37:52Z,-1056.45HKD,115102.01HKD
Restaurant,2018-11-07T02:56:50Z,-443.41HKD,116158.46HKD
Restaurant,2018-11-06T21:29:24Z,-277.03HKD,116601.87HKD
Bar,2018-11-06T16:11:42Z,-183.33HKD,116878.90HKD
Monthly Netflix Membership,2018-11-02T19:47:54Z,-73.61HKD,117062.23HKD
