description,completed,value,new_balance
Filling Station,2019-06-10T11:24:22Z,-967.82HKD,318984.47HKD
Transfer,2019-06-07T20:27:09Z,-2714.72HKD,319952.29HKD
Transfer,2019-06-07T08:13:20Z,-37352.32HKD,322667.01HKD
Transfer,2019-06-07T04:34:18Z,-9601.09HKD,360019.33HKD
Salary Ref ID34215,2019-03-30T00:05:03Z,-40099.56HKD,369620.42HKD
Transfer,2019-03-25T23:52:55Z,-7951.83HKD,409719.98HKD
Transfer,2019-03-16T04:23:21Z,-7951.83HKD,417671.81HKD
Business insurance Ref FD1245,2019-03-09T23:02:16Z,-9601.09HKD,425623.64HKD
Resaurant,2019-03-07T18:59:29Z,-534.57HKD,435224.73HKD
Transfer,2019-03-04T16:14:30Z,-5071.88HKD,435759.30HKD
Filling Station,2019-03-04T03:14:16Z,-967.82HKD,440831.18HKD
Mobile,2019-03-03T23:50:02Z,-587.59HKD,441799.00HKD
Transfer,2019-03-03T18:08:11Z,-37352.32HKD,442386.59HKD
Transfer,2019-03-02T23:49:13Z,-2714.72HKD,479738.91HKD
Transfer,2019-03-02T22:54:14Z,-9601.09HKD,482453.63HKD
