description,completed,value,new_balance
,2018-12-30T18:00:00Z,2714.14HKD,3658.50HKD
,2018-12-30T17:16:49Z,2941.32HKD,944.36HKD
Transfer,2018-12-21T18:58:19Z,-7691.12HKD,-1996.96HKD
,2018-12-21T16:38:18Z,19874.67HKD,5694.16HKD
,2018-12-21T10:45:08Z,4739.48HKD,-14180.51HKD
,2018-12-21T00:42:16Z,45962.60HKD,-18919.99HKD
Transfer,2018-12-16T11:46:34Z,-3993.48HKD,-64882.59HKD
,2018-12-16T08:54:33Z,2714.14HKD,-60889.11HKD
,2018-12-14T15:38:23Z,4371.02HKD,-63603.25HKD
,2018-12-14T13:07:05Z,-587.59HKD,-67974.27HKD
,2018-12-14T06:57:38Z,498.22HKD,-67386.68HKD
,2018-12-11T18:36:53Z,-603.06HKD,-67884.90HKD
,2018-12-07T18:31:47Z,19874.67HKD,-67281.84HKD
Estate Agent,2018-12-07T16:42:02Z,7896.56HKD,-87156.51HKD
,2018-12-07T06:14:49Z,2714.14HKD,-95053.07HKD
,2018-12-07T05:07:03Z,-443.08HKD,-97767.21HKD
London arttraction,2018-12-05T07:02:52Z,-2688.87HKD,-97324.13HKD
Spa,2018-12-05T03:35:45Z,-5312.83HKD,-94635.26HKD
Shopping,2018-12-04T12:08:42Z,-534.57HKD,-89322.43HKD
Shopping,2018-12-04T06:13:12Z,-407.62HKD,-88787.86HKD
Transfer Ref KK198436,2018-12-01T22:13:41Z,-42741.08HKD,-88380.24HKD
Gas/Elec,2018-12-01T18:50:24Z,-2688.87HKD,-45639.16HKD
Business Rates,2018-12-01T18:35:10Z,-1808.09HKD,-42950.29HKD
Rent,2018-12-01T14:47:08Z,-5312.83HKD,-41142.20HKD
Shopping,2018-12-01T09:13:45Z,-1506.59HKD,-35829.37HKD
Transfer Ref GY674312,2018-12-01T08:41:35Z,-40099.56HKD,-34322.78HKD
,2018-09-30T19:46:05Z,2941.32HKD,5776.78HKD
,2018-09-30T14:21:02Z,2714.14HKD,2835.46HKD
,2018-09-28T02:48:18Z,19874.67HKD,121.32HKD
,2018-09-28T00:22:29Z,45962.60HKD,-19753.35HKD
,2018-09-25T04:21:54Z,4739.48HKD,-65715.95HKD
Transfer,2018-09-25T03:32:34Z,-7691.12HKD,-70455.43HKD
,2018-09-24T16:29:11Z,2714.14HKD,-62764.31HKD
Transfer,2018-09-24T00:49:21Z,-3993.48HKD,-65478.45HKD
,2018-09-21T20:42:09Z,498.22HKD,-61484.97HKD
Mobile,2018-09-21T00:44:44Z,-587.59HKD,-61983.19HKD
,2018-09-19T03:51:20Z,4371.02HKD,-61395.60HKD
,2018-09-17T21:27:42Z,-603.06HKD,-65766.62HKD
,2018-09-17T16:13:32Z,-443.08HKD,-65163.56HKD
Estate Agent,2018-09-17T14:37:41Z,7896.56HKD,-64720.48HKD
,2018-09-15T04:54:59Z,19874.67HKD,-72617.04HKD
,2018-09-15T02:58:18Z,2714.14HKD,-92491.71HKD
London arttraction,2018-09-12T14:38:31Z,-2688.87HKD,-95205.85HKD
Spa,2018-09-12T12:54:07Z,-5312.83HKD,-92516.98HKD
Shopping,2018-09-12T04:44:02Z,-407.62HKD,-87204.15HKD
Filling Station,2018-09-12T00:26:17Z,-534.57HKD,-86796.53HKD
Business Rates,2018-09-01T22:45:39Z,-1808.09HKD,-86261.96HKD
Rent,2018-09-01T19:33:36Z,-5312.83HKD,-84453.87HKD
BT,2018-09-01T17:02:33Z,-1506.59HKD,-79141.04HKD
Transfer Ref PT563127,2018-09-01T13:16:17Z,-40099.56HKD,-77634.45HKD
Transfer Ref ED453127,2018-09-01T09:25:22Z,-42741.08HKD,-37534.89HKD
Gas/Elec,2018-09-01T06:27:03Z,-2688.87HKD,5206.19HKD
,2018-06-30T12:09:53Z,2714.14HKD,7895.06HKD
,2018-06-30T03:34:57Z,2941.32HKD,5180.92HKD
,2018-06-21T21:06:55Z,19874.67HKD,2239.60HKD
Transfer,2018-06-21T15:53:09Z,-7691.12HKD,-17635.07HKD
,2018-06-21T02:12:13Z,45962.60HKD,-9943.95HKD
,2018-06-21T00:10:00Z,4739.48HKD,-55906.55HKD
,2018-06-16T13:51:45Z,2714.14HKD,-60646.03HKD
Transfer,2018-06-16T08:35:57Z,-3993.48HKD,-63360.17HKD
,2018-06-14T15:14:51Z,498.22HKD,-59366.69HKD
,2018-06-14T15:02:39Z,-587.59HKD,-59864.91HKD
,2018-06-14T00:28:31Z,4371.02HKD,-59277.32HKD
,2018-06-11T12:47:34Z,-603.06HKD,-63648.34HKD
,2018-06-07T23:09:43Z,-443.08HKD,-63045.28HKD
,2018-06-07T22:32:21Z,2714.14HKD,-62602.20HKD
,2018-06-07T22:01:24Z,19874.67HKD,-65316.34HKD
Estate Agent,2018-06-07T05:07:46Z,7896.56HKD,-85191.01HKD
Spa,2018-06-05T19:36:11Z,-5312.83HKD,-93087.57HKD
London arttraction,2018-06-05T10:52:58Z,-2688.87HKD,-87774.74HKD
Shopping,2018-06-04T03:59:04Z,-534.57HKD,-85085.87HKD
Shopping,2018-06-04T03:40:35Z,-407.62HKD,-84551.30HKD
Shopping,2018-06-01T21:42:23Z,-1506.59HKD,-84143.68HKD
Rent,2018-06-01T14:16:43Z,-5312.83HKD,-82637.09HKD
Gas/Elec,2018-06-01T13:54:54Z,-2688.87HKD,-77324.26HKD
Transfer Ref FG90112,2018-06-01T13:26:19Z,-42741.08HKD,-74635.39HKD
Transfer Ref FG76912,2018-06-01T09:46:49Z,-40099.56HKD,-31894.31HKD
Business Rates,2018-06-01T03:48:53Z,-1808.09HKD,8205.25HKD
,2018-03-30T23:58:02Z,2714.14HKD,10013.34HKD
,2018-03-30T01:26:29Z,2941.32HKD,7299.20HKD
,2018-03-28T14:38:03Z,19874.67HKD,4357.88HKD
,2018-03-28T11:04:50Z,45962.60HKD,-15516.79HKD
,2018-03-25T20:31:40Z,4739.48HKD,-61479.39HKD
Transfer,2018-03-25T03:50:10Z,-7691.12HKD,-66218.87HKD
Transfer,2018-03-24T20:56:58Z,-3993.48HKD,-58527.75HKD
,2018-03-24T10:49:08Z,2714.14HKD,-54534.27HKD
,2018-03-21T06:12:02Z,498.22HKD,-57248.41HKD
Mobile,2018-03-21T05:34:38Z,-587.59HKD,-57746.63HKD
,2018-03-19T19:11:39Z,4371.02HKD,-57159.04HKD
,2018-03-17T19:43:32Z,-603.06HKD,-61530.06HKD
,2018-03-17T11:01:07Z,-443.08HKD,-60927.00HKD
Estate Agent,2018-03-16T02:03:55Z,7896.56HKD,-60483.92HKD
,2018-03-15T11:43:04Z,2714.14HKD,-68380.48HKD
,2018-03-14T22:31:38Z,19874.67HKD,-71094.62HKD
Filling Station,2018-03-12T23:18:06Z,-534.57HKD,-90969.29HKD
London arttraction,2018-03-12T23:06:50Z,-2688.87HKD,-90434.72HKD
