description,completed,value,new_balance
,2019-06-07T21:03:01Z,19874.67HKD,-63700.33HKD
Estate Agent,2019-06-07T13:32:39Z,7896.56HKD,-83575.00HKD
,2019-06-07T11:29:44Z,2714.14HKD,-91471.56HKD
,2019-06-07T04:23:12Z,-443.08HKD,-94185.70HKD
London arttraction,2019-06-05T05:14:09Z,-2688.87HKD,-93742.62HKD
Spa,2019-06-05T04:40:05Z,-5312.83HKD,-91053.75HKD
Shopping,2019-06-04T12:31:06Z,-407.62HKD,-85740.92HKD
Shopping,2019-06-04T09:22:05Z,-534.57HKD,-85333.30HKD
Shopping,2019-06-01T23:27:38Z,-1506.59HKD,-84798.73HKD
Gas/Elec,2019-06-01T18:34:00Z,-2688.87HKD,-83292.14HKD
Rent,2019-06-01T15:38:06Z,-5312.83HKD,-80603.27HKD
Business Rates,2019-06-01T15:30:44Z,-1808.09HKD,-75290.44HKD
Transfer Ref FG90112,2019-06-01T06:38:07Z,-42741.08HKD,-73482.35HKD
Transfer Ref FG76912,2019-06-01T01:47:24Z,-40099.56HKD,-30741.27HKD
,2019-03-30T17:50:35Z,2714.14HKD,9358.29HKD
,2019-03-30T00:20:15Z,2941.32HKD,6644.15HKD
,2019-03-28T06:14:38Z,45962.60HKD,3702.83HKD
,2019-03-28T03:06:07Z,19874.67HKD,-42259.77HKD
Transfer,2019-03-25T19:13:44Z,-7691.12HKD,-62134.44HKD
,2019-03-25T14:18:02Z,4739.48HKD,-54443.32HKD
,2019-03-24T15:14:39Z,2714.14HKD,-59182.80HKD
Transfer,2019-03-24T10:45:11Z,-3993.48HKD,-61896.94HKD
,2019-03-21T11:36:20Z,498.22HKD,-57903.46HKD
Mobile,2019-03-21T02:16:29Z,-587.59HKD,-58401.68HKD
,2019-03-19T12:09:45Z,4371.02HKD,-57814.09HKD
,2019-03-17T16:46:05Z,-603.06HKD,-62185.11HKD
,2019-03-17T04:57:41Z,-443.08HKD,-61582.05HKD
Estate Agent,2019-03-16T03:00:15Z,7896.56HKD,-61138.97HKD
,2019-03-15T04:25:05Z,2714.14HKD,-69035.53HKD
,2019-03-14T20:52:52Z,19874.67HKD,-71749.67HKD
Filling Station,2019-03-12T19:05:09Z,-534.57HKD,-91624.34HKD
Shopping,2019-03-12T12:30:53Z,-407.62HKD,-91089.77HKD
Spa,2019-03-12T05:56:41Z,-5312.83HKD,-90682.15HKD
London arttraction,2019-03-12T01:31:49Z,-2688.87HKD,-85369.32HKD
Transfer Ref TF950134,2019-03-01T18:57:54Z,-40099.56HKD,-82680.45HKD
Business Rates,2019-03-01T18:05:42Z,-1808.09HKD,-42580.89HKD
BT,2019-03-01T17:51:33Z,-1506.59HKD,-40772.80HKD
Rent,2019-03-01T10:47:46Z,-5312.83HKD,-39266.21HKD
Transfer Ref QW164924,2019-03-01T08:24:51Z,-42741.08HKD,-33953.38HKD
Gas/Elec,2019-03-01T06:33:22Z,-2688.87HKD,8787.70HKD
