description,completed,value,new_balance
Shopping Ref CC1132387,2018-12-30T22:42:35Z,-538.61HKD,3839.07HKD
Parking Ref CC7846612,2018-12-30T08:59:47Z,-77.89HKD,4377.68HKD
Cinema Ref CC4976651,2018-12-30T05:11:22Z,-234.75HKD,4455.57HKD
coffee Ref CC5578151,2018-12-29T01:39:11Z,-40.42HKD,4690.32HKD
Shopping Ref CC0097804,2018-12-28T20:48:57Z,-2688.87HKD,4730.74HKD
Shopping Ref  CC4453211,2018-12-28T07:14:27Z,-1506.59HKD,7419.61HKD
resturant Ref CC5987661,2018-12-28T04:12:45Z,-331.96HKD,8926.20HKD
coffee Ref CC5578951,2018-12-24T17:07:28Z,-40.42HKD,9258.16HKD
Takeway Ref CC1115656,2018-12-24T01:00:36Z,-77.89HKD,9298.58HKD
Bar Ref CC6784321,2018-12-19T09:33:53Z,-443.08HKD,9376.47HKD
Filling Station CC6784305,2018-12-04T11:32:22Z,-587.59HKD,9819.55HKD
Shopping Ref CC6797804,2018-12-01T02:49:21Z,-538.61HKD,10407.14HKD
Bar Ref CC5432871,2018-10-01T18:55:33Z,-151.86HKD,10945.75HKD
Bar Ref CC5971542,2018-09-27T02:03:54Z,-151.86HKD,11097.61HKD
Parking Ref CC6759031,2018-09-24T11:08:35Z,-77.89HKD,11249.47HKD
Shopping Ref CC8794125,2018-09-23T15:13:04Z,-538.61HKD,11327.36HKD
Cinema Ref CC0126384,2018-09-21T10:05:07Z,-234.75HKD,11865.97HKD
coffee Ref CC1256843,2018-09-19T08:41:38Z,-40.42HKD,12100.72HKD
Shopping Ref CC8797864,2018-09-17T20:47:34Z,-2688.87HKD,12141.14HKD
Restaurant CC1456239,2018-09-17T07:29:49Z,-331.96HKD,14830.01HKD
Shopping Ref CC3766864,2018-09-17T07:00:36Z,-1506.59HKD,15161.97HKD
coffee Ref CC1290843,2018-09-15T06:54:50Z,-156.16HKD,16668.56HKD
Takeway Ref CC1265481,2018-09-11T03:22:34Z,-77.89HKD,16824.72HKD
Bar Ref CC5971342,2018-09-07T02:29:58Z,-443.08HKD,16902.61HKD
Filling Station Ref CC8895831,2018-09-02T14:34:59Z,-587.59HKD,17345.69HKD
Shopping Ref CC0097864,2018-09-01T08:07:51Z,-289.63HKD,17933.28HKD
Cinema Ref CC2214143,2018-06-30T11:39:51Z,-234.75HKD,18222.91HKD
Shopping Ref CC5656121,2018-06-30T03:17:02Z,-538.61HKD,18457.66HKD
Parking Ref CC4532111,2018-06-30T01:31:20Z,-77.89HKD,18996.27HKD
coffee Ref CC5131124,2018-06-29T05:16:17Z,-40.42HKD,19074.16HKD
